name,year,reclat,reclong,mass
Elephant Moraine 90129,1990,-76.27943,156.42859,50.0
Elephant Moraine 90130,1990,-76.28116,156.47876,21.8
Elephant Moraine 90131,1990,-76.28585,156.45512,26.9
Elephant Moraine 90132,1990,-76.27821,156.42007,20.6
Elephant Moraine 90133,1990,-76.27298,156.43744,52.4
Elephant Moraine 90134,1990,-76.26865,156.46632,21.9
Elephant Moraine 90135,1990,-76.26862,156.45523,15.5
Elephant Moraine 90136,1990,-76.28111,156.41951,37.9
Elephant Moraine 90137,1990,-76.27041,156.45093,29.1
Elephant Moraine 90138,1990,-76.27285,156.4512,74.8
Elephant Moraine 90139,1990,-76.28082,156.4687,13.9
Elephant Moraine 90140,1990,-76.29084,156.41196,2.1
Elephant Moraine 90141,1990,-76.27668,156.446,12.3
Elephant Moraine 90142,1990,-76.28742,156.41609,9.7
Elephant Moraine 90143,1990,-76.28137,156.49452,69.2
Elephant Moraine 90144,1990,-76.28253,156.49374,74.3
Elephant Moraine 90145,1990,-76.28022,156.51418,26.8
Elephant Moraine 90146,1990,-76.26962,156.4947,104.1
Elephant Moraine 90147,1990,-76.28415,156.4863,61.4
Elephant Moraine 90148,1990,-76.27774,156.52203,66.9
Elephant Moraine 90149,1990,-76.26985,156.49568,175.4
Elephant Moraine 90150,1990,-76.2873,156.47775,36.2
Elephant Moraine 90151,1990,-76.26864,156.5012,17.9
Elephant Moraine 90152,1990,-76.28226,156.51237,76.6
Elephant Moraine 90153,1990,-76.27951,156.50858,15.6
Elephant Moraine 90154,1990,-76.27392,156.50891,18.1
Elephant Moraine 90155,1990,-76.28327,156.48787,26.2
Elephant Moraine 90156,1990,-76.28551,156.47311,51.0
Elephant Moraine 90157,1990,-76.27738,156.51248,101.4
Elephant Moraine 90158,1990,-76.28468,156.47516,79.0
Elephant Moraine 90159,1990,-76.27837,156.50224,47.1
Elephant Moraine 90160,1990,-76.28279,156.49686,21.3
Elephant Moraine 90161,1990,-76.2824,156.51672,9.7
Elephant Moraine 90162,1990,-76.27993,156.48114,8.3
Elephant Moraine 90163,1990,-76.28732,156.4767,9.0
Elephant Moraine 90164,1990,-76.28788,156.47025,19.4
Elephant Moraine 90165,1990,-76.28222,156.5107,103.6
Elephant Moraine 90166,1990,-76.28286,156.50182,104.2
Elephant Moraine 90167,1990,-76.27318,156.52536,130.0
Elephant Moraine 90168,1990,-76.26799,156.50322,19.6
Elephant Moraine 90169,1990,-76.27634,156.51695,73.4
Elephant Moraine 90170,1990,-76.2746,156.52834,16.3
Elephant Moraine 90171,1990,-76.28457,156.48834,42.4
Elephant Moraine 90172,1990,-76.27937,156.49957,15.3
Elephant Moraine 90173,1990,-76.28438,156.47693,24.5
Elephant Moraine 90174,1990,-76.28629,156.48988,20.0
Elephant Moraine 90175,1990,-76.26864,156.53123,82.8
Elephant Moraine 90176,1990,-76.28419,156.48785,33.6
Elephant Moraine 90177,1990,-76.27479,156.5196,91.2
Elephant Moraine 90178,1990,-76.26709,156.49725,280.4
Elephant Moraine 90179,1990,-76.27414,156.5056,21.6
Elephant Moraine 90180,1990,-76.28473,156.48503,14.9
Elephant Moraine 90181,1990,-76.27466,156.49913,15.4
Elephant Moraine 90182,1990,-76.28078,156.48709,70.3
Elephant Moraine 90183,1990,-76.28298,156.47845,21.3
